Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
437,UEFA Champions League,2016-04-27,Atletico Madrid,Bayern München,1,0,2015/16,Home,2016,4,1,0,1,Win
438,Spain Liga,2016-04-23,Atletico Madrid,Malaga,1,0,2015/16,Home,2016,4,1,0,1,Win
439,Spain Liga,2016-04-20,Athletic Bilbao,Atletico Madrid,0,1,2015/16,Away,2016,4,1,0,1,Win
440,Spain Liga,2016-04-17,Atletico Madrid,Granada,3,0,2015/16,Home,2016,4,3,0,3,Win
441,UEFA Champions League,2016-04-13,Atletico Madrid,Barcelona,2,0,2015/16,Home,2016,4,2,0,2,Win
442,Spain Liga,2016-04-09,RCD Espanyol,Atletico Madrid,1,3,2015/16,Away,2016,4,3,1,2,Win
443,UEFA Champions League,2016-04-05,Barcelona,Atletico Madrid,2,1,2015/16,Away,2016,4,1,2,-1,Loss
444,Spain Liga,2016-04-02,Atletico Madrid,Real Betis,5,1,2015/16,Home,2016,4,5,1,4,Win
445,Spain Liga,2016-03-19,Sporting Gijon,Atletico Madrid,2,1,2015/16,Away,2016,3,1,2,-1,Loss
446,UEFA Champions League,2016-03-15,Atletico Madrid,PSV Eindhoven,0,0,2015/16,Home,2016,3,0,0,0,Draw
447,Spain Liga,2016-03-12,Atletico Madrid,Deportivo La Coruna,3,0,2015/16,Home,2016,3,3,0,3,Win
448,Spain Liga,2016-03-06,Valencia,Atletico Madrid,1,3,2015/16,Away,2016,3,3,1,2,Win
449,Spain Liga,2016-03-01,Atletico Madrid,Real Sociedad,3,0,2015/16,Home,2016,3,3,0,3,Win
450,Spain Liga,2016-02-27,Real Madrid,Atletico Madrid,0,1,2015/16,Away,2016,2,1,0,1,Win
451,UEFA Champions League,2016-02-24,PSV Eindhoven,Atletico Madrid,0,0,2015/16,Away,2016,2,0,0,0,Draw
452,Spain Liga,2016-02-21,Atletico Madrid,Villarreal,0,0,2015/16,Home,2016,2,0,0,0,Draw
453,Spain Liga,2016-02-14,Getafe,Atletico Madrid,0,1,2015/16,Away,2016,2,1,0,1,Win
454,Spain Liga,2016-02-06,Atletico Madrid,Eibar,3,1,2015/16,Home,2016,2,3,1,2,Win
455,Spain Liga,2016-01-30,Barcelona,Atletico Madrid,2,1,2015/16,Away,2016,1,1,2,-1,Loss
456,Spain Liga,2016-01-24,Atletico Madrid,Sevilla,0,0,2015/16,Home,2016,1,0,0,0,Draw
457,Spain Liga,2016-01-17,Las Palmas,Atletico Madrid,0,3,2015/16,Away,2016,1,3,0,3,Win
458,Spain Liga,2016-01-10,Celta Vigo,Atletico Madrid,0,2,2015/16,Away,2016,1,2,0,2,Win
459,Spain Liga,2016-01-02,Atletico Madrid,Levante,1,0,2015/16,Home,2016,1,1,0,1,Win
460,Spain Liga,2015-12-30,Rayo Vallecano,Atletico Madrid,0,2,2015/16,Away,2015,12,2,0,2,Win
461,Spain Liga,2015-12-20,Malaga,Atletico Madrid,1,0,2015/16,Away,2015,12,0,1,-1,Loss
462,Spain Liga,2015-12-13,Atletico Madrid,Athletic Bilbao,2,1,2015/16,Home,2015,12,2,1,1,Win
463,UEFA Champions League,2015-12-08,Benfica,Atletico Madrid,1,2,2015/16,Away,2015,12,2,1,1,Win
464,Spain Liga,2015-12-05,Granada,Atletico Madrid,0,2,2015/16,Away,2015,12,2,0,2,Win
465,Spain Liga,2015-11-28,Atletico Madrid,RCD Espanyol,1,0,2015/16,Home,2015,11,1,0,1,Win
466,UEFA Champions League,2015-11-25,Atletico Madrid,Galatasaray,2,0,2015/16,Home,2015,11,2,0,2,Win
467,Spain Liga,2015-11-22,Real Betis,Atletico Madrid,0,1,2015/16,Away,2015,11,1,0,1,Win
468,Spain Liga,2015-11-08,Atletico Madrid,Sporting Gijon,1,0,2015/16,Home,2015,11,1,0,1,Win
469,UEFA Champions League,2015-11-03,Lokomotiv Astana,Atletico Madrid,0,0,2015/16,Away,2015,11,0,0,0,Draw
470,Spain Liga,2015-10-30,Deportivo La Coruna,Atletico Madrid,1,1,2015/16,Away,2015,10,1,1,0,Draw
471,Spain Liga,2015-10-25,Atletico Madrid,Valencia,2,1,2015/16,Home,2015,10,2,1,1,Win
472,UEFA Champions League,2015-10-21,Atletico Madrid,Lokomotiv Astana,4,0,2015/16,Home,2015,10,4,0,4,Win
473,Spain Liga,2015-10-18,Real Sociedad,Atletico Madrid,0,2,2015/16,Away,2015,10,2,0,2,Win
474,Spain Liga,2015-10-04,Atletico Madrid,Real Madrid,1,1,2015/16,Home,2015,10,1,1,0,Draw
475,UEFA Champions League,2015-09-30,Atletico Madrid,Benfica,1,2,2015/16,Home,2015,9,1,2,-1,Loss
476,Spain Liga,2015-09-26,Villarreal,Atletico Madrid,1,0,2015/16,Away,2015,9,0,1,-1,Loss
477,Spain Liga,2015-09-22,Atletico Madrid,Getafe,2,0,2015/16,Home,2015,9,2,0,2,Win
478,Spain Liga,2015-09-19,Eibar,Atletico Madrid,0,2,2015/16,Away,2015,9,2,0,2,Win
479,UEFA Champions League,2015-09-15,Galatasaray,Atletico Madrid,0,2,2015/16,Away,2015,9,2,0,2,Win
480,Spain Liga,2015-09-12,Atletico Madrid,Barcelona,1,2,2015/16,Home,2015,9,1,2,-1,Loss
481,Spain Liga,2015-08-30,Sevilla,Atletico Madrid,0,3,2015/16,Away,2015,8,3,0,3,Win
482,Spain Liga,2015-08-22,Atletico Madrid,Las Palmas,1,0,2015/16,Home,2015,8,1,0,1,Win
483,Spain Liga,2015-05-23,Granada,Atletico Madrid,0,0,2014/15,Away,2015,5,0,0,0,Draw
484,Spain Liga,2015-05-17,Atletico Madrid,Barcelona,0,1,2014/15,Home,2015,5,0,1,-1,Loss
485,Spain Liga,2015-05-10,Levante,Atletico Madrid,2,2,2014/15,Away,2015,5,2,2,0,Draw
486,Spain Liga,2015-05-02,Atletico Madrid,Athletic Bilbao,0,0,2014/15,Home,2015,5,0,0,0,Draw
487,Spain Liga,2015-04-29,Villarreal,Atletico Madrid,0,1,2014/15,Away,2015,4,1,0,1,Win
488,Spain Liga,2015-04-25,Atletico Madrid,Elche,3,0,2014/15,Home,2015,4,3,0,3,Win
489,UEFA Champions League,2015-04-22,Real Madrid,Atletico Madrid,1,0,2014/15,Away,2015,4,0,1,-1,Loss
490,Spain Liga,2015-04-18,Deportivo La Coruna,Atletico Madrid,1,2,2014/15,Away,2015,4,2,1,1,Win
491,UEFA Champions League,2015-04-14,Atletico Madrid,Real Madrid,0,0,2014/15,Home,2015,4,0,0,0,Draw
492,Spain Liga,2015-04-11,Malaga,Atletico Madrid,2,2,2014/15,Away,2015,4,2,2,0,Draw
493,Spain Liga,2015-04-07,Atletico Madrid,Real Sociedad,2,0,2014/15,Home,2015,4,2,0,2,Win
494,Spain Liga,2015-04-04,Cordoba CF,Atletico Madrid,0,2,2014/15,Away,2015,4,2,0,2,Win
495,Spain Liga,2015-03-21,Atletico Madrid,Getafe,2,0,2014/15,Home,2015,3,2,0,2,Win
496,UEFA Champions League,2015-03-17,Atletico Madrid,Bayer Leverkusen,1,0,2014/15,Home,2015,3,1,0,1,Win
497,Spain Liga,2015-03-14,RCD Espanyol,Atletico Madrid,0,0,2014/15,Away,2015,3,0,0,0,Draw
498,Spain Liga,2015-03-08,Atletico Madrid,Valencia,1,1,2014/15,Home,2015,3,1,1,0,Draw
499,Spain Liga,2015-03-01,Sevilla,Atletico Madrid,0,0,2014/15,Away,2015,3,0,0,0,Draw
500,UEFA Champions League,2015-02-25,Bayer Leverkusen,Atletico Madrid,1,0,2014/15,Away,2015,2,0,1,-1,Loss
501,Spain Liga,2015-02-21,Atletico Madrid,Almeria,3,0,2014/15,Home,2015,2,3,0,3,Win
502,Spain Liga,2015-02-15,Celta Vigo,Atletico Madrid,2,0,2014/15,Away,2015,2,0,2,-2,Loss
503,Spain Liga,2015-02-07,Atletico Madrid,Real Madrid,4,0,2014/15,Home,2015,2,4,0,4,Win
504,Spain Liga,2015-01-31,Eibar,Atletico Madrid,1,3,2014/15,Away,2015,1,3,1,2,Win
505,Spain Liga,2015-01-24,Atletico Madrid,Rayo Vallecano,3,1,2014/15,Home,2015,1,3,1,2,Win
506,Spain Liga,2015-01-18,Atletico Madrid,Granada,2,0,2014/15,Home,2015,1,2,0,2,Win
507,Spain Liga,2015-01-11,Barcelona,Atletico Madrid,3,1,2014/15,Away,2015,1,1,3,-2,Loss
508,Spain Liga,2015-01-03,Atletico Madrid,Levante,3,1,2014/15,Home,2015,1,3,1,2,Win
509,Spain Liga,2014-12-21,Athletic Bilbao,Atletico Madrid,1,4,2014/15,Away,2014,12,4,1,3,Win
510,Spain Liga,2014-12-14,Atletico Madrid,Villarreal,0,1,2014/15,Home,2014,12,0,1,-1,Loss
511,UEFA Champions League,2014-12-09,Juventus,Atletico Madrid,0,0,2014/15,Away,2014,12,0,0,0,Draw
512,Spain Liga,2014-12-06,Elche,Atletico Madrid,0,2,2014/15,Away,2014,12,2,0,2,Win
513,Spain Liga,2014-11-30,Atletico Madrid,Deportivo La Coruna,2,0,2014/15,Home,2014,11,2,0,2,Win
514,UEFA Champions League,2014-11-26,Atletico Madrid,Olympiakos,4,0,2014/15,Home,2014,11,4,0,4,Win
515,Spain Liga,2014-11-22,Atletico Madrid,Malaga,3,1,2014/15,Home,2014,11,3,1,2,Win
516,Spain Liga,2014-11-09,Real Sociedad,Atletico Madrid,2,1,2014/15,Away,2014,11,1,2,-1,Loss
517,UEFA Champions League,2014-11-04,Malmö FF,Atletico Madrid,0,2,2014/15,Away,2014,11,2,0,2,Win
518,Spain Liga,2014-11-01,Atletico Madrid,Cordoba CF,4,2,2014/15,Home,2014,11,4,2,2,Win
519,Spain Liga,2014-10-26,Getafe,Atletico Madrid,0,1,2014/15,Away,2014,10,1,0,1,Win
520,UEFA Champions League,2014-10-22,Atletico Madrid,Malmö FF,5,0,2014/15,Home,2014,10,5,0,5,Win
521,Spain Liga,2014-10-19,Atletico Madrid,RCD Espanyol,2,0,2014/15,Home,2014,10,2,0,2,Win
522,Spain Liga,2014-10-04,Valencia,Atletico Madrid,3,1,2014/15,Away,2014,10,1,3,-2,Loss
523,UEFA Champions League,2014-10-01,Atletico Madrid,Juventus,1,0,2014/15,Home,2014,10,1,0,1,Win
524,Spain Liga,2014-09-27,Atletico Madrid,Sevilla,4,0,2014/15,Home,2014,9,4,0,4,Win
525,Spain Liga,2014-09-24,Almeria,Atletico Madrid,0,1,2014/15,Away,2014,9,1,0,1,Win
